City,State,Language,Course,Session1,Session2,Session3,Session4
Virginia Beach,Virginia ,English,Leadership Certificate Propgram,9/20/2016,10/11/2016,12/1/2016,1/31/2017
Bloomington,Minnesota,English,Leadership Certificate Propgram,9/21/2016,10/25/2016,11/17/2016,12/5/2016
King Of Prussia,Pennsylvania,English,Leadership Certificate Propgram,9/22/2016,10/27/2016,11/17/2016,12/15/2016
Ann Arbor,Michigan,English,Leadership Certificate Propgram,9/27/2016,10/25/2016,11/29/2016,1/17/2017
Ann Arbor,Michigan,English,Leadership Certificate Propgram,9/20/2016,10/25/2016,12/1/2016,1/3/2017
Los Angeles,California,English,Leadership Certificate Propgram,9/20/2016,10/27/2016,12/1/2016,1/5/2017
Kansas City,Kansas,English,Leadership Certificate Propgram,10/6/2016,12/1/2016,1/19/2017,2/23/2017
Hemet,California,English,Leadership Certificate Propgram,12/12/2016,1/30/2017,2/27/2017,3/27/2017
Greeley,Colorado,Spanish,Leadership Certificate Propgram,10/11/2016,11/8/2016,12/13/2016,1/17/2017
Foxboro,Massachusetts,English,Leadership Certificate Propgram,10/13/2016,11/10/2016,12/15/2016,1/26/2017
Kennewick,Washington,Spanish,Leadership Certificate Propgram,10/20/2016,11/17/2016,12/15/2016,1/26/2017
St. Louis,Missouri,English,Leadership Certificate Propgram,1/11/2017,1/31/2017,,
Gila Bend,Arizona,Spanish,Leadership Certificate Propgram,10/25/2016,11/29/2016,1/3/2016,2/7/2016
Green Bay,Wisconsin,Spanish,Leadership Certificate Propgram,11/1/2016,11/29/2016,1/3/2017,
South Bend,Indiana,English,Leadership Certificate Propgram,11/8/2016,12/6/2016,1/10/2017,2/7/2017
Charlotte,North Carolina,English,Leadership Certificate Propgram,1/10/2017,2/7/2017,3/7/2017,
DFW,Texas,English,Leadership Certificate Propgram,1/26/2017,2/23/2017,3/23/2017,4/20/2017
Angola,Indiana,Spanish,Leadership Certificate Propgram,11/15/2016,12/13/2016,1/24/2017,2/21/2017
Ames,Iowa,English,Leadership Certificate Propgram,1/10/2017,2/21/2017,3/16/2017,
Appleton,Wisconsin,English,Leadership Certificate Propgram,11/29/2016,1/17/2017,2/28/2017,3/28/2017
Albert Lea,Minnesota,English,Leadership Certificate Propgram,2/9/2017,3/9/2017,,
Dubuque,Iowa,English,Leadership Certificate Propgram,12/15/2016,1/19/2017,3/2/2017,3/30/2017
Twin Falls,Idaho,English,Leadership Certificate Propgram,12/8/2016,1/26/2017,2/23/2017,3/23/2017
Nashville,Tennessee,English,Leadership Certificate Propgram,12/13/2016,1/10/2017,2/7/2017,2/23/2017
Myrtle Beach,South Carolina,English,Leadership Certificate Propgram,12/13/2016,1/17/2017,,
Pensacola,Florida,English,Leadership Certificate Propgram,1/17/2017,2/28/2017,3/28/2017,5/2/2017
Las Vegas,Nevada,,Leadership Certificate Propgram,2/28/2017,3/28/2017,4/25/2017,5/23/2017
Philadelphia,Pennsylvania,English,Leadership Certificate Propgram,4/4/2017,5/9/2017,6/6/2017,6/27/2017
Fond Du Lac,Wisconsin,English,Leadership Certificate Propgram,11/29/2016,1/17/2017,2/28/2017,3/28/2017
State College,Pennsylvania,English,Leadership Certificate Propgram,12/15/2016,1/17/2017,2/21/2017,3/21/2017
Seattle,Washington,English,Leadership Certificate Propgram,1/26/2017,2/23/2017,3/23/2017,4/20/2017
Portsmouth,New Hampshire,English,Leadership Certificate Propgram,1/31/2017,2/28/2017,3/21/2017,4/18/2017
Round Robin,New York,English,Leadership Certificate Propgram,12/13/2016,1/31/2017,3/13/2017,4/20/2017
Baltimore,Maryland,English,Leadership Certificate Propgram,4/4/2017,5/2/2017,6/6/2017,7/11/2017
San Diego,California,English,Leadership Certificate Propgram,4/3/2017,5/1/2017,5/22/2017,6/12/2017
Sacramento,California,English,Leadership Certificate Propgram,3/16/2017,4/6/2017,5/11/2017,6/8/2017
Sioux Falls,South Dakota,English,Leadership Certificate Propgram,5/2/2017,6/6/2017,7/18/2017,8/15/2017
Portland,Oregon,English,Leadership Certificate Propgram,3/21/2017,4/18/2017,5/16/2017,6/13/2017
Sarasota,Florida,English,Leadership Certificate Propgram,5/4/2017,6/1/2017,7/13/2017,8/10/2017
West Palm Beach,Florida,English,Leadership Certificate Propgram,5/4/2017,,,
Atlanta,Georgia,English,Leadership Certificate Propgram,5/9/2017,6/13/2017,7/11/2017,8/8/2017
Tulare,California,Spanish,Focused Leadership Certificate Program ,11/29/2016,1/17/2017,,
Appleton,Wisconsin,English,Focused Leadership Certificate Program ,12/5/2016,1/23/2017,,
Lincoln,Nebraska,English,Focused Leadership Certificate Program ,1/17/2017,3/14/2017,,
Gering,Nebraska,English,Focused Leadership Certificate Program ,6/8/2017,7/25/2017,,
Merced,California,English,Leadership Certificate Propgram,11/10/2016,,,
Akron,Ohio,English,Leadership Certificate Propgram,4/11/2017,5/23/2017,6/13/2017,8/8/2017
